a,video_id,author,likes,published,updated,text,teks_new,teks_new_lower,"sentimen (1 negatif, 2 netral, 3 positif)"
UgxoAXUSX8C0khrXldl4AaABAg,GX-aKctcuX4,@batavia1043,0,2025-02-11T10:36:50Z,2025-02-11T10:36:50Z,Yg jelas titipan dewan gak cair itu..... Siapa yg gak tau kalau ketok anggaran dewan titip,Yg jelas titipan dewan gak cair itu..... Siapa yg gak tau kalau ketok anggaran dewan titip,yg jelas titipan dewan gak cair itu..... siapa yg gak tau kalau ketok anggaran dewan titip,1
UgwSc2f4iAZAPOzvgR14AaABAg,GX-aKctcuX4,@ridwan3709,0,2025-02-11T05:09:00Z,2025-02-11T05:09:14Z,"rasain. katanya otonomi daerah, cari duit sendiri sana","rasain. katanya otonomi daerah, cari duit sendiri sana","rasain. katanya otonomi daerah, cari duit sendiri sana",3
UgzrxJ4JgLIeLBUNtH54AaABAg,GX-aKctcuX4,@mrpickels98,0,2025-02-11T01:50:20Z,2025-02-11T01:50:20Z,kata kepala desa : yah gbs beli pajero lagi deh,kata kepala desa : yah gak bisa beli pajero lagi deh,kata kepala desa : yah gbs beli pajero lagi deh,1
Ugz84np6HO0mmVrjm5t4AaABAg,GX-aKctcuX4,@charlesalberto3373,0,2025-02-10T22:57:04Z,2025-02-10T22:57:04Z,"yah  . dana 100 % aja jalan masi bnyak yg ancur. apalagi cuman 50% , gak berbentuk nanti jalan nya.","yah  . dana 100 % aja jalan masi bnyak yg hancur. apalagi cuman 50% , gak berbentuk nanti jalan nya.","yah  . dana 100 % aja jalan masi bnyak yg ancur. apalagi cuman 50% , gak berbentuk nanti jalan nya.",1
UgzTt79G_LZ63YbMlgd4AaABAg,GX-aKctcuX4,@cahyosan5819,0,2025-02-10T21:28:27Z,2025-02-10T21:28:27Z,"Klw program dipaksakan dan memotong anggaran lain mending gk usah dilaksanakan saja programnya, anak kecang bapak sekarat","Klw program dipaksakan dan memotong anggaran lain mending gk usah dilaksanakan saja programnya, anak kenyang bapak sekarat","klw program dipaksakan dan memotong anggaran lain mending gk usah dilaksanakan saja programnya, anak kecang bapak sekarat",1
Ugzwx4ULx3AJdwdIK_p4AaABAg,GX-aKctcuX4,@AdiabdaraDara,0,2025-02-10T15:12:07Z,2025-02-10T15:12:07Z,Stop dana desa lorong saya sepanjang 40 lebar 2 meter   mencor dgn dana sendiri padahal dekat kota kabupaten... Tidak jauh dari kantor kelurahan,Stop dana desa lorong saya sepanjang 40 lebar 2 meter   mencor dgn dana sendiri padahal dekat kota kabupaten... Tidak jauh dari kantor kelurahan,stop dana desa lorong saya sepanjang 40 lebar 2 meter   mencor dgn dana sendiri padahal dekat kota kabupaten... tidak jauh dari kantor kelurahan,3
Ugw3X_e5rI7eM1Q8nVZ4AaABAg,GX-aKctcuX4,@Jakakelana-xv2mb,0,2025-02-10T12:37:11Z,2025-02-10T12:37:11Z,Dana desa blokir,Dana desa blokir,dana desa blokir,3
Ugzq9YuHuI_O16MRSOl4AaABAg,GX-aKctcuX4,@ahrunnaza6297,0,2025-02-10T11:21:26Z,2025-02-10T11:21:26Z,"Makan bergizi gratis lebih baik di prioritaskan buat keluarga harapan yg miskin dan menengah ke bawah jadi lebih hemat anggaran, dr pada buat orang kaya yg sudah berlebih... qt butuh kebijakan berkeadilan","Makan bergizi gratis lebih baik di prioritaskan buat keluarga harapan yg miskin dan menengah ke bawah jadi lebih hemat anggaran, dr pada buat orang kaya yg sudah berlebih... qt butuh kebijakan berkeadilan","makan bergizi gratis lebih baik di prioritaskan buat keluarga harapan yg miskin dan menengah ke bawah jadi lebih hemat anggaran, dr pada buat orang kaya yg sudah berlebih... qt butuh kebijakan berkeadilan",2
UgwZnSgoYddqHac10DF4AaABAg,GX-aKctcuX4,@ry-he5mv,0,2025-02-10T07:38:57Z,2025-02-10T07:38:57Z,Daerah daerah jarang didemo,Daerah daerah jarang didemo,daerah daerah jarang didemo,2
Ugxjoei4XdL8-yVPubB4AaABAg,GX-aKctcuX4,@Brainxen,1,2025-02-10T02:26:09Z,2025-02-10T02:26:09Z,Potong tunjangan PNS 70%,Potong tunjangan PNS 70%,potong tunjangan pns 70%,1
UgxsrmS7Ib-K_LSHyPN4AaABAg,GX-aKctcuX4,@sportandnews2997,0,2025-02-09T17:10:53Z,2025-02-09T17:10:53Z,Saya setuju dana di potong 50%..tapi gaji dan tunjangan pegawai dari pusat..agar ASN tidak dipermainkan dalam politik daerah,Saya setuju dana di potong 50%..tapi gaji dan tunjangan pegawai dari pusat..agar ASN tidak dipermainkan dalam politik daerah,saya setuju dana di potong 50%..tapi gaji dan tunjangan pegawai dari pusat..agar asn tidak dipermainkan dalam politik daerah,3
Ugz5_Dy332UeR7yfjdZ4AaABAg,GX-aKctcuX4,@RikaNatalia-pc6bp,0,2025-02-09T15:06:33Z,2025-02-09T15:07:47Z,Betul stelah lurah di desa saya dilantik kemari  tiba tiba besok langsung beli Inova reborn jirr,Betul setelah lurah di desa saya dilantik kemari  tiba tiba besok langsung beli Inova reborn jirr,betul stelah lurah di desa saya dilantik kemari  tiba tiba besok langsung beli inova reborn jirr,3
Ugyhxvn1LTf1_iuAQCd4AaABAg,GX-aKctcuX4,@Transportasi24,0,2025-02-09T11:26:50Z,2025-02-09T11:26:50Z,Seperti pemerintah sedang bangkrut,Seperti pemerintah sedang bangkrut,seperti pemerintah sedang bangkrut,2
Ugy3vCzrZYlSvle5HXN4AaABAg,GX-aKctcuX4,@saraoriginal_official,0,2025-02-09T10:51:57Z,2025-02-09T10:51:57Z,"Kalo diluar negeri contohy amerika udh mangkas PNS nya yg ga jelas kerjanya,mudah2n di indo mangkas juga nih., biar duitny buat program rakyat😁","Kalo diluar negeri contohy amerika udh mangkas PNS nya yg ga jelas kerjanya,mudah2n di indo mangkas juga nih., biar duitny buat program rakyat","kalo diluar negeri contohy amerika udh mangkas pns nya yg ga jelas kerjanya,mudah2n di indo mangkas juga nih., biar duitny buat program rakyat",3
Ugy5gyviOo2xkuCT5kJ4AaABAg,GX-aKctcuX4,@rikiardinoto7423,0,2025-02-09T10:39:27Z,2025-02-09T10:39:27Z,"Saya juga mencurigai kepala desa di daerah saya , dari dulu dia terus yg jadi kepala desa , tanahnya makin lebar ,bisnis mengurita dari bibit sawit sampai punya peternakan ayam potong sekala cukup besar","Saya juga mencurigai kepala desa di daerah saya , dari dulu dia terus yg jadi kepala desa , tanahnya makin lebar ,bisnis mengurita dari bibit sawit sampai punya peternakan ayam potong sekala cukup besar","saya juga mencurigai kepala desa di daerah saya , dari dulu dia terus yg jadi kepala desa , tanahnya makin lebar ,bisnis mengurita dari bibit sawit sampai punya peternakan ayam potong sekala cukup besar",3
UgwbeuYl1pa2IbaLXDd4AaABAg,GX-aKctcuX4,@mfhdstudio,0,2025-02-09T09:53:34Z,2025-02-09T09:53:34Z,Mbaknya yg jas hijauu gemess,Mbaknya yg jas hijauu gemess,mbaknya yg jas hijauu gemess,2
UgzrF7mbpBT0joA7lot4AaABAg,GX-aKctcuX4,@ayakabe,0,2025-02-09T08:13:46Z,2025-02-09T08:13:46Z,Dana desa penyakit,Dana desa penyakit,dana desa penyakit,3
UgzOpWPalw3A9nLae1N4AaABAg,GX-aKctcuX4,@njonglaw2881,0,2025-02-09T07:38:09Z,2025-02-09T07:38:09Z,Mantap ..biar jgn boros anggaran didaerah,Mantap ..biar jgn boros anggaran didaerah,mantap ..biar jgn boros anggaran didaerah,3
Ugyh9-bIfweHokGvWs54AaABAg,GX-aKctcuX4,@bangbillah788,0,2025-02-09T03:58:38Z,2025-02-09T03:58:38Z,"Mantap 😂 

Uangnya cuman buat di korupsi kepala daerah doang 😂😂😂","Mantap  

Uangnya cuman buat di korupsi kepala daerah doang ","mantap  

uangnya cuman buat di korupsi kepala daerah doang ",3
UgyCGTqcw5oIDKtH8jx4AaABAg,GX-aKctcuX4,@Mrlogix-qc4rh,0,2025-02-09T02:13:45Z,2025-02-09T02:13:45Z,MAMPUSSSS KALIAANNN HAHAHAHAHA UDAH KAGAK BISA KORUP LAGI. PERLAHAN TAPI PASTI KORUPTOR AKAN PUSING LADANG BASAHNYA ILANG HAHAH,MAMPUS KALIAN HAHAHAHAHA UDAH KAGAK BISA KORUP LAGI. PERLAHAN TAPI PASTI KORUPTOR AKAN PUSING LADANG BASAHNYA ILANG HAHAH,mampussss kaliaannn hahahahaha udah kagak bisa korup lagi. perlahan tapi pasti koruptor akan pusing ladang basahnya ilang hahah,3
UgyNFJOzzsScG22gKnB4AaABAg,GX-aKctcuX4,@aksandghaners8175,0,2025-02-08T22:58:15Z,2025-02-08T22:58:15Z,"Dalam hati para pejabat, kurang lagi jatah korupnya kita tahun iniii","Dalam hati para pejabat, kurang lagi jatah korupnya kita tahun iniii","dalam hati para pejabat, kurang lagi jatah korupnya kita tahun iniii",2
Ugy2rBNzrZF9-_RnXZR4AaABAg,GX-aKctcuX4,@deficrack5601,0,2025-02-08T18:22:47Z,2025-02-08T18:22:47Z,Mampusss haha,Mampus haha,mampusss haha,3
Ugw4jaydKC3cVLZ6ugV4AaABAg,GX-aKctcuX4,@SaSa-d9b7y,0,2025-02-08T15:48:05Z,2025-02-08T15:48:05Z,"Mantap pak Prabowo
Ini baru presiden!","Mantap pak Prabowo
Ini baru presiden!","mantap pak prabowo
ini baru presiden!",3
UgxeBRw5VqeQgnDldad4AaABAg,GX-aKctcuX4,@marchelgarfansa9609,0,2025-02-08T15:02:04Z,2025-02-08T15:02:04Z,Saya harap ada semacam lembaga monitoring di setiap desa terkait penggunaan dan pemakaian dana desa. Dan seharusnya setiap pemberian dana ada janji dan goal yang akan di capai dari dana tsb. Jika tidak maka ada sanksi,Saya harap ada semacam lembaga monitoring di setiap desa terkait penggunaan dan pemakaian dana desa. Dan seharusnya setiap pemberian dana ada janji dan goal yang akan di capai dari dana tsb. Jika tidak maka ada sanksi,saya harap ada semacam lembaga monitoring di setiap desa terkait penggunaan dan pemakaian dana desa. dan seharusnya setiap pemberian dana ada janji dan goal yang akan di capai dari dana tsb. jika tidak maka ada sanksi,3
UgzEZFFsw1Uxi56KO9l4AaABAg,GX-aKctcuX4,@timornugroho8463,0,2025-02-08T13:02:35Z,2025-02-08T13:02:35Z,"Setuju....evaluasi juga dana desa , tidak berdampak signifikan","Setuju....evaluasi juga dana desa , tidak berdampak signifikan","setuju....evaluasi juga dana desa , tidak berdampak signifikan",3
UgwkyGLCsPwXiGEI6e94AaABAg,GX-aKctcuX4,@pantekff5379,0,2025-02-08T11:48:01Z,2025-02-08T11:48:01Z,Pak kades ketar ketir,Pak kades ketar ketir,pak kades ketar ketir,2
UgwU1LZ-5wpsq7aOyBF4AaABAg,GX-aKctcuX4,@Tukang1000rumah,0,2025-02-08T11:32:05Z,2025-02-08T11:32:05Z,Waduh cari korupsi di mana lagi jalannya,Waduh cari korupsi di mana lagi jalannya,waduh cari korupsi di mana lagi jalannya,1
UgzgU0JzchYmIphvhwx4AaABAg,GX-aKctcuX4,@RahmaIrma-l1t,0,2025-02-08T10:45:00Z,2025-02-08T10:45:00Z,Kades di kampung saya udah beli tanah 1 hektar bikin rumah dst... Padahal dulunua gembell😂,Kades di kampung saya udah beli tanah 1 hektar bikin rumah dst... Padahal dulunua gembell,kades di kampung saya udah beli tanah 1 hektar bikin rumah dst... padahal dulunua gembell,3
UgyntZZuc1ulOUODnDp4AaABAg,GX-aKctcuX4,@Dani-zy7xl,0,2025-02-08T09:26:10Z,2025-02-08T09:26:10Z,Alhamdulillah,Alhamdulillah,alhamdulillah,3
UgyHIUml5IE8w-vXxzp4AaABAg,GX-aKctcuX4,@diansarwonohutasoit7604,0,2025-02-08T09:01:13Z,2025-02-08T09:01:13Z,bagus😅,bagus,bagus,3
UgyIR3HyXTnlvg5bJz54AaABAg,GX-aKctcuX4,@belomtrending21,0,2025-02-08T08:15:40Z,2025-02-08T08:15:40Z,bagus itu😂😂 .udah berpuluh tahun si kunyuk kerja apa adanya .gaji ngalir trus wkwkwk😂,bagus itu .udah berpuluh tahun si kunyuk kerja apa adanya .gaji ngalir trus wkwkwk,bagus itu .udah berpuluh tahun si kunyuk kerja apa adanya .gaji ngalir trus wkwkwk,3
UgySXBv02ct71DwArR94AaABAg,GX-aKctcuX4,@seltraa,0,2025-02-08T08:13:03Z,2025-02-08T08:13:03Z,"Dana Desa di hentikan, di kampung gw bangun tempat duduk doank 6 juta","Dana Desa di hentikan, di kampung gw bangun tempat duduk doank 6 juta","dana desa di hentikan, di kampung gw bangun tempat duduk doank 6 juta",3
Ugwb9Q_KTjhp3puhu2h4AaABAg,GX-aKctcuX4,@EndangSaepul2005,0,2025-02-08T07:30:30Z,2025-02-08T07:30:30Z,Iyahh .ga guna kasih anggaran ke desa juga ...ga ada saluran ke rakyat.atw jalan2 ....ga ada perubahan dari dulu jga...tetep gt aja daerah,Iyahh .ga guna kasih anggaran ke desa juga ...ga ada saluran ke rakyat.atw jalan2 ....ga ada perubahan dari dulu jga...tetep gt aja daerah,iyahh .ga guna kasih anggaran ke desa juga ...ga ada saluran ke rakyat.atw jalan2 ....ga ada perubahan dari dulu jga...tetep gt aja daerah,3
UgyEQGa1KkJLUeNxGHN4AaABAg,GX-aKctcuX4,@gurindammedia,0,2025-02-08T07:30:14Z,2025-02-08T07:30:14Z,❤❤❤🎉🎉🎉,,,2
UgzEOa77YFruOdIQ4wV4AaABAg,GX-aKctcuX4,@FaizFadillah-d8j,0,2025-02-08T06:23:02Z,2025-02-08T06:23:02Z,Dana ini bakal jadi pusat ikn 😊❤,Dana ini bakal jadi pusat ikn ,dana ini bakal jadi pusat ikn ,1
UgxrjKdx4gIlYvh5FeJ4AaABAg,GX-aKctcuX4,@dionnisius5563,0,2025-02-08T06:15:52Z,2025-02-08T06:15:52Z,Di potong 70%pun gppa😂 dripda di korupsi terus wkwk,Di potong 70%pun gppa dripda di korupsi terus wkwk,di potong 70%pun gppa dripda di korupsi terus wkwk,3
Ugxf9JRFEuCQoakb0_l4AaABAg,GX-aKctcuX4,@bowonetpreneur894,0,2025-02-08T06:08:06Z,2025-02-08T06:08:06Z,Berani nglawan kebijakan mukidi,Berani nglawan kebijakan mukidi,berani nglawan kebijakan mukidi,3
UgyfXxDiFhBQ4ilpjE94AaABAg,GX-aKctcuX4,@tomahawk-onesix,1,2025-02-08T05:47:45Z,2025-02-08T05:47:45Z,"negara tolol

terbitkan aja UU koruptor tembak mati
pasti masalah korupsi jadi nol","negara tolol

terbitkan aja UU koruptor tembak mati
pasti masalah korupsi jadi nol","negara tolol

terbitkan aja uu koruptor tembak mati
pasti masalah korupsi jadi nol",1
UgxntWtln8jIEN1kBph4AaABAg,GX-aKctcuX4,@rafilazuardi4032,0,2025-02-08T05:15:35Z,2025-02-08T05:15:35Z,potong 100 persen jangan tanggung,potong 100 persen jangan tanggung,potong 100 persen jangan tanggung,3
Ugy1gGCo1ytrOKW2b454AaABAg,GX-aKctcuX4,@MISSTY1234,0,2025-02-08T04:58:18Z,2025-02-08T04:58:18Z,makan bergizi faedahnya apa? kenapa tidak dialihkan ke pembangunan lapangan kerja dan kesehatan?,makan bergizi faedahnya apa? kenapa tidak dialihkan ke pembangunan lapangan kerja dan kesehatan?,makan bergizi faedahnya apa? kenapa tidak dialihkan ke pembangunan lapangan kerja dan kesehatan?,1
UgzndAqD5rtueZsZOF94AaABAg,GX-aKctcuX4,@Resmawan-jw5dx,0,2025-02-08T04:43:05Z,2025-02-08T04:46:16Z,"Syukurlah pejabat daerah berfoya foya seolah negara ini milik mereka 😂,,selama belanja pegawai dan bansos tidak di pangkas itu tidak jadi masalah ❤.

Tolong masukan di daftar kenaikan gaji bagi golongan bawah  dari potongan Anggaran itu,,biar atasan yg selama ini hobi sunat anggaran bertobat","Syukurlah pejabat daerah berfoya foya seolah negara ini milik mereka ,,selama belanja pegawai dan bansos tidak di pangkas itu tidak jadi masalah .

Tolong masukan di daftar kenaikan gaji bagi golongan bawah  dari potongan Anggaran itu,,biar atasan yg selama ini hobi sunat anggaran bertobat","syukurlah pejabat daerah berfoya foya seolah negara ini milik mereka ,,selama belanja pegawai dan bansos tidak di pangkas itu tidak jadi masalah .

tolong masukan di daftar kenaikan gaji bagi golongan bawah  dari potongan anggaran itu,,biar atasan yg selama ini hobi sunat anggaran bertobat",3
Ugz-y3p6lRDWdizmONh4AaABAg,GX-aKctcuX4,@kadrinberlianbima9692,0,2025-02-08T03:40:31Z,2025-02-08T03:40:31Z,Bagus 🎉🎉🎉🎉🎉,Bagus ,bagus ,3
UgwIM_hC4VWb_xrts6p4AaABAg,GX-aKctcuX4,@LarisJaya-p6g,0,2025-02-08T03:37:01Z,2025-02-08T03:37:01Z,Tetep aja enak pns,Tetep aja enak pns,tetep aja enak pns,1
UgxXuwIl9H3O8_RYQFZ4AaABAg,GX-aKctcuX4,@KappaSura-me5be,0,2025-02-08T03:27:42Z,2025-02-08T03:27:42Z,Gaji PNS yg foya2 di potong juga,Gaji PNS yg foya2 di potong juga,gaji pns yg foya2 di potong juga,3
Ugx_jP7Yd9dGSmWCU0Z4AaABAg,GX-aKctcuX4,@KappaSura-me5be,0,2025-02-08T03:26:13Z,2025-02-08T03:26:13Z,Asal pusat tidak korupsi aja 😂,Asal pusat tidak korupsi aja ,asal pusat tidak korupsi aja ,2
UgyIY_nD6a9nh01I4eZ4AaABAg,GX-aKctcuX4,@ardianmualip2974,0,2025-02-08T02:52:44Z,2025-02-08T02:52:44Z,Ruwet,Ruwet,ruwet,1
